Date,Close,Open,High,Low,Change...,y,Volume,tr,atr,trueHigh,trueLow,DIp,DIn,DX,ADX,macd,signal,sar,vClose,dn,mavg,up,pctB,rsi,fastK,fastD,slowD,williamsAD,aroonUp,aroonDn,oscillator,cci,chaikinAD,cmf,emv,maEMV,tdi,di,TRIX,signal,vhf.close,roc
2000-05-23,679.76,674.03,694.44,674.03,-2.541894999,-1,211387,20.41,28.72059105,694.44,674.03,21.20300947,31.01695378,18.79347226,16.85199322,-3.53195578,-3.21489898,769.956552,0.504626838,-687.4535957,-735.4468333,-783.440071,0.049072146,34.74351266,0.05486929,0.186093746,0.278676232,-500.51,50,100,-50,-175.6537418,-1535637.261,-0.075065008,-18.54295912,-7.91822622,1428.21,-3447.2,-0.447055884,-0.400713157,0.332292067,-0.017282418
2000-05-24,674.95,669.21,689.55,643.97,-1.552018359,-1,289351,45.58,29.92483455,689.55,643.97,18.8956616,34.81842542,29.64355293,17.76567605,-3.819800097,-3.335879203,762.2824278,0.497662124,-676.8668126,-730.5986667,-784.3305208,0.068644687,34.05650733,0.230351699,0.106310868,0.183727197,-515.11,45,100,-55,-183.2195494,-1431653.729,-0.055476849,-27.52748392,-10.60015119,1603.49,-3530.93,-0.453266645,-0.405718251,0.330434464,-0.007101181
2000-05-25,699.53,696.69,708.59,685.18,3.220979332,1,401992,33.64,30.19020351,708.59,674.95,21.89715931,32.04661172,18.81487373,17.84061875,-3.734609539,-3.41562527,750.4511851,0.504211246,-673.4061917,-727.746,-782.0858083,-0.224149438,40.52821437,0.413116217,0.232779069,0.175061228,-490.53,40,95,-55,-87.1765942,-1340814.87,0.005599991,17.54329066,-7.256725456,1755.42,-3625.49,-0.458268262,-0.410723014,0.2922633,0.035770067
2000-05-26,656.66,690.54,693.1,656.66,-1.2851486,-1,350450,42.87,31.09590326,699.53,656.66,19.7404387,35.44266574,28.45477288,18.59877261,-4.107762941,-3.554052804,739.8030666,0.519493596,-664.4736275,-724.3566667,-784.2397059,-0.036179186,34.22028509,0.094356458,0.245941458,0.195010465,-533.4,35,90,-55,-143.7090119,-1691264.87,-0.079609138,-22.88093023,-7.416220267,2056.57,-3841.8,-0.466516237,-0.416036654,0.248960006,-0.0632423
2000-05-29,655.93,627.4,664.27,625.14,-4.455882801,-1,309609,39.13,31.66976731,664.27,625.14,17.99794916,39.42446953,37.31385905,19.9355645,-4.37113635,-3.717469513,730.2197599,0.508573017,-652.0067155,-720.348,-788.6892845,0.026046107,34.12289175,0.210357314,0.239276663,0.239332396,-541.74,30,100,-70,-163.3081978,-1513633.333,0.013014312,-38.1367386,-12.45048339,2322.56,-4031.21,-0.476758123,-0.421819651,0.210151855,-0.001112305
2000-05-30,691.26,668.65,692.31,668.65,1.93923132,1,389665,36.38,32.0062125,692.31,655.93,22.79519239,36.22309514,22.752105,20.13674596,-4.131318867,-3.800239384,717.6101887,0.521212192,-650.2488143,-719.6995,-789.1501857,-0.243514651,42.63262676,0.459581567,0.254765113,0.246661078,-506.41,25,95,-70,-79.16793979,-1158553.984,0.120807974,21.72215878,-12.75294537,2597.33,-4194.96,-0.484081132,-0.427749316,0.235157375,0.052461943
2000-05-31,731.88,708.04,744.6,708.04,2.427451321,1,503781,53.34,33.53005447,744.6,691.26,31.34547402,32.10649651,1.199367778,18.78407609,-3.435173666,-3.72722624,625.14,0.509060756,-650.7293745,-720.263,-789.7966255,-0.556881353,50.54289429,0.741919789,0.470619556,0.321553777,-465.79,20,90,-70,17.44591022,-1005325.19,0.104817361,33.26664563,-4.804738515,2766.25,-4236.48,-0.484240441,-0.433129423,0.234655335,0.057100547
2000-06-01,738.49,730.55,746.7,722.24,-0.18172378,-1,314336,24.46,32.88219343,746.7,722.24,30.1359921,30.40033752,0.43667236,17.47354726,-2.776569045,-3.537094801,625.14,0.509674177,-650.8174404,-719.7886667,-788.759893,-0.616145052,51.70978864,0.787864044,0.6631218,0.46283549,-449.54,15,85,-70,35.84054596,-902002.9721,0.086903407,6.341908022,-4.963402954,2448.47,-4018.77,-0.477898586,-0.437393153,0.235220281,0.008990995
2000-06-02,760.69,759.22,776.49,750.38,2.80707931,1,430574,38,33.24775105,776.49,738.49,34.07623904,27.91820008,9.933211816,16.93495187,-1.982122857,-3.226100412,630.0024,0.51276043,-650.158321,-720.3926667,-790.6270124,-0.799905501,55.50672576,0.895606211,0.808463348,0.647401568,-427.34,10,80,-70,92.55276222,-992537.2984,0.047161612,17.56437105,-1.183304193,2183.97,-3857.85,-0.463982003,-0.439925425,0.227709163,0.029618355
2000-06-05,794.21,778.48,799.34,778.48,2.338666211,1,464377,38.65,33.63362597,799.34,760.69,36.13214097,25.62635702,17.01107426,16.94038918,-0.971874432,-2.775255216,638.791656,0.52183371,-646.8043256,-722.2986667,-797.7930077,-0.952868381,60.55045759,0.970551091,0.884673782,0.785419643,-393.82,100,75,25,142.1869736,-756564.3262,0.095406117,11.44347158,2.14852144,1872.91,-3664.47,-0.440597126,-0.439989396,0.261097789,0.043121994
2000-06-07,822.54,798.23,822.98,792.71,0.506163357,1,493503,30.27,33.39336697,822.98,792.71,38.84956691,23.96693244,23.69223791,17.42266409,0.127060286,-2.194792116,651.6355235,0.527149715,-641.5557841,-724.4716667,-807.3875492,-1.032296491,64.24007602,0.997775981,0.954644427,0.882593852,-363.99,100,70,30,173.0011351,-277408.2915,0.167098187,11.61416344,6.497593369,1537.26,-3457.09,-0.407116147,-0.43685861,0.30947693,0.035049204
